province,district,month,direction,freq_pct
Izmir,Bayındır,2,W,3.77
Izmir,Bayındır,2,NW,2.83
Izmir,Bayındır,3,N,34.62
Izmir,Bayındır,3,NE,25.48
Izmir,Bayındır,3,E,5.54
Izmir,Bayındır,3,SE,5.19
Izmir,Bayındır,3,S,6.61
Izmir,Bayındır,3,SW,11.03
Izmir,Bayındır,3,W,6.18
Izmir,Bayındır,3,NW,5.34
Izmir,Bayındır,4,N,33.17
Izmir,Bayındır,4,NE,20.32
Izmir,Bayındır,4,E,5.74
Izmir,Bayındır,4,SE,3.97
Izmir,Bayındır,4,S,5.96
Izmir,Bayındır,4,SW,13.67
Izmir,Bayındır,4,W,9.47
Izmir,Bayındır,4,NW,7.71
Izmir,Bayındır,5,N,33.78
Izmir,Bayındır,5,NE,16.08
Izmir,Bayındır,5,E,5.05
Izmir,Bayındır,5,SE,3.92
Izmir,Bayındır,5,S,4.81
Izmir,Bayındır,5,SW,14.93
Izmir,Bayındır,5,W,11.85
Izmir,Bayındır,5,NW,9.57
Izmir,Bayındır,6,N,45.69
Izmir,Bayındır,6,NE,16.28
Izmir,Bayındır,6,E,3.47
Izmir,Bayındır,6,SE,2.53
Izmir,Bayındır,6,S,2.6
Izmir,Bayındır,6,SW,9.12
Izmir,Bayındır,6,W,10.07
Izmir,Bayındır,6,NW,10.24
Izmir,Bayındır,7,N,58.66
Izmir,Bayındır,7,NE,19.11
Izmir,Bayındır,7,E,2.06
Izmir,Bayındır,7,SE,0.79
Izmir,Bayındır,7,S,1.06
Izmir,Bayındır,7,SW,4.99
Izmir,Bayındır,7,W,6.44
Izmir,Bayındır,7,NW,6.9
Izmir,Bayındır,8,N,52.81
Izmir,Bayındır,8,NE,16.99
Izmir,Bayındır,8,E,1.88
Izmir,Bayındır,8,SE,0.98
Izmir,Bayındır,8,S,1.65
Izmir,Bayındır,8,SW,8.88
Izmir,Bayındır,8,W,8.27
Izmir,Bayındır,8,NW,8.53
Izmir,Bayındır,9,N,45.03
Izmir,Bayındır,9,NE,17.54
Izmir,Bayındır,9,E,3.19
Izmir,Bayındır,9,SE,2.36
Izmir,Bayındır,9,S,2.85
Izmir,Bayındır,9,SW,10.46
Izmir,Bayındır,9,W,9.93
